date,session_key,meeting_key,driver_number,position
2025-10-05T11:08:40.886000+00:00,9896,1270,1,2
2025-10-05T12:34:34.192000+00:00,9896,1270,1,3
2025-10-05T12:34:38.446000+00:00,9896,1270,1,4
2025-10-05T12:34:47.089000+00:00,9896,1270,1,5
2025-10-05T12:34:48.199000+00:00,9896,1270,1,6
2025-10-05T12:34:49.714000+00:00,9896,1270,1,7
2025-10-05T12:38:11.793000+00:00,9896,1270,1,6
2025-10-05T12:42:57.414000+00:00,9896,1270,1,5
2025-10-05T12:44:33.305000+00:00,9896,1270,1,4
2025-10-05T12:46:12.384000+00:00,9896,1270,1,3
2025-10-05T12:47:48.373000+00:00,9896,1270,1,2
